tienda,semana_inicio,año_inicio,semana_fin,año_fin
1168,34,2024,33,2025
1325,42,2024,36,2025
1335,37,2024,42,2025
4038,,,33,2025
8082,41,2024,39,2025
8651,37,2024,36,2025
8654,19,2024,15,2025
8705,33,2024,42,2025
8706,34,2024,33,2025
8720,42,2024,36,2025
8775,41,2024,39,2025
8854,34,2024,33,2025
1162,17,2024,19,2025
1174,17,2024,19,2025
1327,21,2024,23,2025
8713,24,2024,27,2025
8714,24,2024,27,2025
8719,17,2024,19,2025
8723,24,2024,27,2025
8728,21,2024,23,2025
8733,21,2024,23,2025
8638,31,2024,34,2025
8644,15,2024,13,2025
8653,31,2024,34,2025
8729,26,2024,26,2025
8730,38,2024,37,2025
8734,15,2024,13,2025
8757,6,2024,6,2025
8796,45,2024,38,2025
8797,26,2024,26,2025
1169,32,2024,31,2025
1175,29,2024,28,2025
1333,39,2024,40,2025
1342,16,2024,14,2025
8094,33,2024,35,2025
8652,29,2024,28,2025
8676,39,2024,40,2025
8701,33,2024,28,2025
8703,8,2024,8,2025
8704,32,2024,35,2025
8710,29,2024,31,2025
8751,16,2024,14,2025
8752,8,2024,8,2025
8789,12,2024,10,2025
1176,20,2024,10,2025
1328,29,2024,25,2025
8636,29,2024,25,2025
8643,7,2024,10,2025
8657,25,2024,22,2025
8659,7,2024,7,2025
8662,7,2024,7,2025
8727,20,2024,20,2025
8742,20,2024,20,2025
8772,35,2024,32,2025
8785,35,2024,32,2025
8852,25,2024,22,2025
8628,22,2024,21,2025
8664,27,2024,24,2025
8682,27,2024,24,2025
8708,10,2024,9,2025
8759,19,2024,15,2025
8766,22,2024,21,2025
8771,10,2024,9,2025
8784,27,2024,24,2025
1161,9,2024,11,2025
1163,30,2024,30,2025
8642,23,2024,26,2025
8656,23,2024,26,2025
8672,34,2024,33,2025
8677,30,2024,30,2025
8694,44,2024,41,2025
8707,9,2024,11,2025
8716,40,2024,41,2025
8740,40,2024,41,2025
8741,34,2024,33,2025
8769,30,2024,30,2025
8777,36,2024,37,2025
8778,36,2024,37,2025
8626,36,2024,36,2025
8635,39,2024,35,2025
8639,39,2024,39,2025
8658,32,2024,32,2025
8698,35,2024,35,2025
8735,39,2024,39,2025
8767,32,2024,32,2025
8768,8,2024,8,2025
8774,28,2024,29,2025
8776,36,2024,36,2025
8793,8,2024,8,2025
8798,28,2024,29,2025
1123,41,2024,40,2025
1165,25,2024,26,2025
8648,25,2024,26,2025
8661,31,2024,31,2025
8691,31,2024,31,2025
8692,38,2024,38,2025
8702,20,2024,21,2025
8744,21,2024,23,2025
8746,33,2024,34,2025
8747,24,2024,25,2025
8748,20,2024,21,2025
8763,24,2024,25,2025
8860,38,2024,40,2025
1167,35,2024,34,2025
8086,30,2024,30,2025
8637,15,2024,11,2025
8645,19,2024,15,2025
8647,23,2024,24,2025
8724,27,2024,28,2025
8725,27,2024,28,2025
8745,19,2024,15,2025
8760,23,2024,24,2025
8761,18,2024,18,2025
8762,21,2024,23,2025
8765,15,2024,11,2025
8788,30,2024,30,2025
1331,10,2024,13,2025
8085,7,2024,7,2025
8663,16,2024,19,2025
8673,9,2024,10,2025
8675,9,2024,10,2025
8693,16,2024,19,2025
8696,22,2024,22,2025
8739,7,2024,7,2025
8743,22,2024,22,2025
8795,10,2024,13,2025
1137,,,41,2025
1164,26,2024,27,2025
1166,40,2024,41,2025
1170,40,2024,42,2025
8088,37,2024,37,2025
8646,26,2024,27,2025
8649,41,2024,42,2025
8674,6,2024,6,2025
8726,26,2024,27,2025
8736,17,2024,20,2025
8738,37,2024,37,2025
8754,12,2024,14,2025
8781,12,2024,14,2025
8857,34,2024,20,2025
